topic0,darub,off,hinaus,klar,stellt,fest,steht,stell,bleib,zunach,bleibt,zukunft,unklar,gestellt,bislang,wann,genau,vollig,liess,konkret,moglicherweis,aussicht,zeitpunkt,weiterhin,durft,entschied,wahrschein,auss,bevor,zweit,klarheit,dar,kommt,blieb,heisst,erwart,lang,detail,aussag,ledig,ausgeschloss,ungewiss,besteh,geklart,endgult,danach,diskutiert,dritt,gemacht,besteht,option,denkbar,genannt,uberhaupt,rechn,dau,leg,stand,wort,sag,lauf,zweifel,weich,lieg,vorerst,ebenfall,deshalb,innerhalb,eindeut,vorstell,gescheh,nenn,schliess,bisher,anfang,sowohl,spatest,fuhr,gesproch,reih,daran,zumind,angesicht,ausseh,wed,schliesst,gelt,sicht,letzt,diskussion,tur,eventuell,zustand,ausgang,gegeb,uberleg,unsich,hintergrund,einschatz,festleg
 ,0.074,0.064,0.034,0.022,0.021,0.019,0.016,0.015,0.014,0.013,0.013,0.012,0.012,0.011,0.011,0.01,0.01,0.01,0.01,0.01,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic6,iran,teheran,sanktion,steinmei,diplomat,aussenminist,iaeo,bezieh,botschaft,atomprogramm,uran,dialog,walter_steinmeier,west,ric,fuhrung,aussenministerium,chatami,organisation,unterstutz,urananreicher,verhangt,iaea,atomstreit,regim,islam,fuhr,ahmadinedschad,druck,atomenergi,aufheb,friedlich,betont,atomwaff,streit,zusammenarbeit,nachrichtenagentur,washington,baradei,mykonos,umstritt,konflikt,drohung,rafsandschani,atombomb,embargo,treff,bau,zivil,gegenub,außenminister_frank,grossbritanni,haltung,bericht,stopp,kritisch,entwickl,erneut,jung,recht,bemuh,westlich,schritt,bezeichnet,verhandl,aussetz,aufgefordert,aussenpolit,verzicht,irna,samstag,sollt,zweck,mohammed_chatami,sicherheitsrat,kontroll,verhang,direkt,antwort,chamenei,reaktion,revolution,akbar,wort,scharf,nuklear,hart,geistlich,mullah,vorgeh,russland,bekraftigt,ajatollah,iranische_atomprogramm,offiziell,kontakt,frankreich,aktivitat,off,strafmassnahm
 ,0.119,0.036,0.022,0.009,0.009,0.009,0.008,0.007,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic7,ubernahm,verkauf,fusion,konz,anteil,zusammenschluss,partn,beteil,ubernehm,konzern,milliarden_euro,konkurrent,finanzinvestor,investor,tocht,verkauft,interess,einstieg,geschaft,transaktion,interessent,deal,kaufpreis,strateg,interessiert,erwerb,grupp,ubernomm,britisch,management,gebot,biet,offert,bors,kauf,spart,trenn,mehrheit,aktionar,ubernimmt,zukauf,group,kauft,preis,beteiligt,zweitgrosst,equity,vorstandschef,fusioniert,borsengang,zusamm,zustimm,numm,konsortium,holding,ubernahmeangebot,zuletzt,kerngeschaft,zusammengeh,synergi,spekulation,akquisition,zerschlag,konsolidier,paket,plan,gescheitert,capital,option,gilt,beteiligungsgesellschaft,kartellbehord,fusioni,eigentum,gerucht,feindlich,blackston,branch,wert,gehort,zug,drittgrosst,firma,grossaktionar,abgeb,besitz,kkr,strategi,spekuliert,fuhrung,steht,entsteht,gekauft,pruf,abgegeb,erworb,ausstieg,branchenkreis,konzentri,nam
 ,0.058,0.045,0.042,0.027,0.017,0.016,0.014,0.014,0.012,0.012,0.011,0.01,0.009,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic8,mitglied,verein,stiftung,organisation,vertret,arbeit,gegrundet,list,nam,erhalt,vorsitz,preis,initiativ,gehor,grundung,grupp,person,engagement,aktiv,sitz,ausgezeichnet,gehort,neb,unterstutz,erhielt,zusamm,auszeichn,gesellschaft,einricht,organisiert,vergeb,verlieh,tatig,zahlreich,forum,verleih,besond,offent,darunt,unterstutzt,beweg,erstmal,aufgab,ehrenamt,angehor,gremium,ehemal,trag,institution,komite,verband,gemeinnutz,engagiert,verschied,ausserd,ford,aktion,dotiert,vorbild,beitrag,jeweil,dien,geruf,statt,benannt,mitgliedschaft,gemacht,zahlt,friedensnobelpreis,verdien,bedeut,anlass,freiwill,preistrag,nahm,ging,beteiligt,begrund,begrundet,alternativ,prominent,bekannt,zweck,diesjahr,zusammengeschloss,heisst,leb,nah,uberreicht,nobelpreis,acht,geehrt,dezemb,initiator,helf,bild,anerkenn,jury,leit,organisi
 ,0.065,0.032,0.032,0.031,0.026,0.024,0.018,0.018,0.017,0.016,0.015,0.013,0.012,0.012,0.011,0.01,0.01,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic9,firm,mittelstand,industri,branch,betrieb,arbeitsplatz,dienstleist,ausland,investition,besond,bereich,meist,klein,beschaftigt,gerad,mittelstandl,standort,zunehm,deutsche_unternehmen,mittl,beispiel,tatig,chanc,schaff,oft,grossunternehm,inzwisch,investi,allein,mitarbeit,deutschen_unternehmen,handelskamm,bedeut,gewerb,haufig,handel,geschaff,sektor,selbstand,drittel,zud,attraktiv,profiti,stell,halft,beschaft,konkurrenz,personal,geschaftsfuhr,deutschen_wirtschaft,beispielsweis,industriell,wettbewerb,existenzgrund,bess,gering,zahlreich,verstarkt,deshalb,qualifiziert,stellt,kapital,hoch,wachsend,kaum,dah,vergangenen_jahren,mittlerweil,arbeitskraft,vorteil,innovativ,mittelständische_unternehmen,nutz,deutsche_firmen,gunstig,biet,neue_arbeitsplätze,grundung,uberwieg,engagement,regional,entsteh,liegt,deutsche_wirtschaft,anteil,arbeit,mittelständischen_unternehmen,mittlere_unternehmen,schwierig,selbststand,strukturwandel,unternehmer,lieg,zahlt,einstell,grosskonzern,mangel,deutscher_unternehmen,niedrig,vergang
 ,0.063,0.028,0.027,0.024,0.019,0.014,0.014,0.013,0.012,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic10,polizei,bekampf,innenminist,straftat,kontroll,illegal,kriminalitat,kampf,schutz,schily,kriminell,grenz,tat,organisiert,burg,inn,gefahr,straf,justizminist,hart,drog,verbrech,scharf,bka,justiz,kanth,massnahm,uberwach,behord,lauschangriff,rechtsstaat,vorgeh,minist,missbrauch,gesetz,geldwasch,beamt,verstarkt,verscharf,bess,besond,bundeskriminalamt,strafrecht,zypri,schwer,verfolg,anti,justizministerin,scientology,scheng,innenministerium,verscharft,polizist,durf,kontrolliert,einsatz,bgs,bundesgrenzschutz,bundesinnenminister_otto_schily,gdp,wirksam,zustand,opf,europol,person,zusammenarbeit,bestraft,legal,sogenannt,mafia,richt,hameln,durchsuch,gefordert,verfassungsschutz,rechtspolit,delikt,bestraf,alkohol,strafverfolg,bedroh,heroin,band,deist,einricht,zunehm,jortzig,innenpolit,bundesinnenministerium,sollt,innere_sicherheit,grenzkontroll,vorbeug,abhor,streng,weserzeit,diebstahl,befugnis,bereich,stell
 ,0.019,0.013,0.012,0.011,0.011,0.011,0.009,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic11,kampf,rebell,angriff,arme,trupp,soldat,stadt,militar,einheit,grenz,sud,gebiet,waff,nord,kilomet,offensiv,gefecht,schwer,berichtet,streitkraft,heftig,stellung,dorf,waffenstillstand,meldet,hauptstadt,zivilist,panz,miliz,raket,nah,erneut,angegriff,luftangriff,ziel,aserbaidschan,sudlich,bewaffnet,waffenruh,luftwaff,bericht,nordlich,kontroll,abzug,unterdess,beschoss,ort,general,aufstand,seit,zerstort,regierungstrupp,beschuss,samstag,hiess,kampfflugzeug,kontrolliert,artilleri,besetzt,ortschaft,operation,region,armeni,bombardiert,stutzpunkt,konflikt,begonn,nacht,ruckzug,mindest,karabach,setzt,grenzgebiet,fort,teilt,beginn,verwundet,zufolg,verteidigungsministerium,krieg,verstarkt,stationiert,kommandeur,hubschraub,griff,ostlich,widerstand,fortgesetzt,farc,hundert,umkampft,zon,sicherheitszon,verteidigungsminist,eigenen_angaben,offenbar,gekomm,burgerkrieg,gemeldet,verletzt
 ,0.043,0.03,0.024,0.023,0.021,0.021,0.017,0.015,0.011,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic12,schreibt,zeitung,meint,kommentiert,press,tageszeit,liberal,konservativ,wirklich,gefahr,standard,recht,scheint,blatt,erschein,einzig,fuhr,blick,linksliberal,schrieb,vielleicht,sieg,kommentar,versuch,niemand,schluss,befasst,haltung,situation,tatsach,daran,hart,gegenub,zeig,bedeutet,beweis,wahr,uberzeug,wahrschein,geword,glaub,verli,art,zweifel,bleibt,geschicht,reaktion,gezeigt,offensicht,letzt,tun,klar,kuri,unabhang,entschloss,glaubwurd,sag,besteht,wed,gewiss,einfach,osterreich,neue_zürcher_zeitung,nie,schlag,ernsthaft,hand,ereignis,vollig,meinung,braucht,schwach,kris,niederlag,la_stampa,folgt,bring,unmog,antwort,schein,aug,darin,fahig,schlimm,moment,bemerkt,augenblick,ausgang,echt,erfolg,versprech,basler_zeitung,hoffnung,rett,getan,glaubt,all,scheit,schwierig,bedeut
 ,0.044,0.036,0.025,0.021,0.02,0.019,0.014,0.014,0.01,0.01,0.008,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic13,cdu,fdp,union,csu,vorsitz,koalition,schaubl,liberal,partei,fraktion,mollemann,fraktionschef,bundestag,generalsekretar,bundestagsfraktion,westerwell,wolfgang_schäuble,merz,angela_merkel,stellvertret,fraktionsvorsitz,bundestagswahl,friedrich_merz,jürgen_möllemann,debatt,prasidium,zdf,viz,fraktionsviz,sprach,guido_westerwelle,koalitionspartn,spitz,lambsdorff,unionsfraktion,wolfgang_gerhardt,woll,diskussion,großen_koalition,streit,thema,chefin_angela_merkel,große_koalition,bundestagsabgeordnet,opposition,warf,bekraftigt,parteichef,unionspolit,solm,erneut,forder,geissl,struck,sitzung,bundeskanzlerin_angela_merkel,bild_am_sonntag,generalsekretarin,hintz,ard,parteivorsitz,kaud,lehnt,volker_kauder,hermann_otto_solms,unionspartei,cda,parlamentar,otto_graf_lambsdorff,wochen,fuhrend,nannt,gemeinsam,wahlkampf,christdemokrat,vorsitzende_angela_merkel,deutschlandfunk,bonner_koalition,chefin,laurenz_meyer,merkel,pflug,ruh,rainer_brüderle,meint,spendenaffar,bundesvorsitz,chef_edmund_stoiber,klar,chef_guido_westerwelle,verlangt,peter_struck,legislaturperiod,landtagswahl,welt_am_sonntag,bundeskanzler_helmut_kohl,aussert,kanzlerkandidat,kanzlerin,kanzlerin_angela_merkel
 ,0.166,0.106,0.078,0.047,0.019,0.015,0.015,0.014,0.013,0.012,0.012,0.01,0.009,0.009,0.008,0.008,0.007,0.006,0.006,0.006,0.006,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic14,gmbh,ag,grupp,mitarbeit,geschaftsfuhr,gesellschaft,beschaftigt,co,tocht,umsatz,gegrundet,firma,ubernomm,werk,holding,teilt,gehor,beteil,herstell,tatig,beteiligt,munch,familienunternehm,bereich,eigenen_angaben,erzielt,anteil,ubernahm,ubernimmt,vertrieb,verkauft,partn,gehort,tochtergesellschaft,weltweit,dusseldorf,fuhrend,produktion,klockn,ventur,millionen_dm,_kg,gemeinschaftsunternehm,servic,betrieb,standort,kg,aktivitat,sitz,millionen_euro,duisburg,joint_venture,geschaft,ubernehm,joint,grundung,produziert,erworb,erwirtschaftet,mbh,jahresumsatz,ltd,baut,niederlass,nam,unternehmensgrupp,zusamm,mitteilt,maschinenbau,vergangenen_jahr,spezialisiert,mehrheit,kaufpreis,geschaftsbereich,beteiligungsgesellschaft,zahlt,erwerb,fertig,tochterunternehm,dr,investiert,management,vwd,grundet,co_kg,betreibt,dach,neb,anlag,muttergesellschaft,aktiengesellschaft,stuttgart,holding_gmbh,restlich,geschaftsfeld,geschaftsleit,geschaftsjahr,anbiet,firmengrupp,anlagenbau
 ,0.059,0.042,0.036,0.028,0.026,0.025,0.019,0.015,0.014,0.012,0.011,0.009,0.009,0.009,0.009,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
